"Tag Code","Event File Name","Event Type Name","Event Capture Method Name","Event Capture Method Code","Event Site Name","Event Site Code Value","Event Date MMDDYYYY","Event Date Time Value","Event Release Site Name","Event Release Date MMDDYYYY","Event Release Date Time Value","Event Rear Type Name","Event Rear Type Code","Event Species Code","Event Species Name","Event SRR Code","Event SRR Name","Event Conditional Comments Code","Event Conditional Comments Name","Mark File Name","Mark Data Project Code and Name","Mark Species Name","Mark Rear Type Name","Mark Site Code Value","Mark Date MMDDYYYY","CTH Count"
"384.1B7973117F","ILR-2022-117-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","4/27/2022","4/27/2022 9:59:29 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","4/27/2022","4/27/2022 9:59:29 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2022-117-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","4/27/2022","1"
"3D9.1C2DEF3A60","ILR-2021-233-LEM.xml","Recapture","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","8/21/2021","8/21/2021 6:43:33 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","8/21/2021","8/21/2021 6:43:33 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","RE","Recapture","QCI-2020-268-HGA.xml","QCI - Biomark ABS Projects","Chinook","Wild Fish or Natural Production","HAYDNC","9/24/2020","1"
"3DD.003D57F3DD","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:38:02 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:38:02 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3DE","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:06:06 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:06:06 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3DF","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:15:35 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:15:35 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3E0","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:26:25 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:26:25 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3E1","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:26:08 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:26:08 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3E2","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:07:28 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:07:28 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3E3","ILR-2021-286-LEM.xml","Mark","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/13/2021","10/13/2021 9:19:29 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/13/2021","10/13/2021 9:19:29 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","","","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
"3DD.003D57F3E3","ILR-2021-287-LEM.xml","Recapture","Screw Trap","SCREWT","LEMTRP - Upper Lemhi River Rotary Screw Trap","LEMTRP","10/14/2021","10/14/2021 9:47:43 AM","LEMTRP - Upper Lemhi River Rotary Screw Trap","10/14/2021","10/14/2021 9:47:43 AM","Wild Fish or Natural Production","W","1","Chinook","11W","Wild Spring Chinook","RE","Recapture","ILR-2021-286-LEM.xml","ILR - IDFG Lemhi River Basin Projects","Chinook","Wild Fish or Natural Production","LEMTRP","10/13/2021","1"
