"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"384.1B79730415","Steelhead","Wild Fish or Natural Production","Mark","Trap or Weir","LEMTRP","4/26/2022 9:54:33 AM","NA","0","LEMTRP","4/26/2022 9:54:33 AM","1"
"384.1B79730415","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","7/13/2022 11:24:49 PM","04","130","","","1"
"384.1B79730415","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","7/13/2022 11:25:29 PM","02","130","","","1"
"384.1B79730415","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","4/26/2022 5:15:13 PM","A3","110","","","1"
"384.1B79730415","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","4/26/2022 5:15:15 PM","A4","110","","","1"
"384.1B79730415","Steelhead","Wild Fish or Natural Production","Recapture","Trap or Weir","LEMTRP","4/27/2022 10:09:57 AM","NA","0","LEMTRP","4/27/2022 10:09:57 AM","1"
"384.1B7973117F","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMTRP","4/27/2022 9:59:29 AM","NA","0","LEMTRP","4/27/2022 9:59:29 AM","1"
"384.1B7973117F","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","0HR","6/20/2023 9:25:48 AM","03","100","","","1"
"384.1B7973117F","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","4/27/2022 8:15:09 PM","A3","110","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Mark","River","HAYDNC","9/24/2020 8:24:00 AM","NA","0","HAYDNC","9/24/2020 11:56:00 AM","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVL","8/25/2021 9:16:54 PM","05","100","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","8/25/2021 1:34:22 PM","02","100","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","8/25/2021 1:35:48 PM","06","100","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","8/25/2021 1:37:57 PM","06","100","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","HYC","8/20/2021 10:11:39 PM","01","130","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLR","8/27/2021 6:08:04 PM","05","120","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","8/21/2021 7:08:40 AM","A3","110","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","8/21/2021 7:08:46 AM","A4","110","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","8/21/2021 7:11:32 AM","A5","110","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","8/21/2021 7:12:57 AM","A6","110","","","1"
"3D9.1C2DEF3A60","Chinook","Wild Fish or Natural Production","Recapture","Trap or Weir","LEMTRP","8/21/2021 6:43:33 AM","NA","0","LEMTRP","8/21/2021 6:43:33 AM","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMTRP","10/13/2021 9:38:02 AM","NA","0","LEMTRP","10/13/2021 9:38:02 AM","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/13/2022 10:12:07 AM","01","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/13/2022 10:12:09 AM","02","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/13/2022 10:12:10 AM","02","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/13/2022 10:12:12 AM","03","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/13/2022 6:58:01 PM","A1","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/13/2022 6:58:01 PM","A2","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/13/2022 6:58:08 PM","11","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/13/2022 6:58:10 PM","12","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/13/2022 6:58:24 PM","71","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/13/2022 6:58:24 PM","72","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/14/2022 7:01:11 AM","61","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/14/2022 7:01:11 AM","62","160","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVL","10/15/2021 1:47:57 AM","06","100","","","1"
"3DD.003D57F3DD","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","10/13/2021 4:45:08 PM","A4","110","","","1"
"3DD.003D57F3DE","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMTRP","10/13/2021 9:06:06 AM","NA","0","LEMTRP","10/13/2021 9:06:06 AM","1"
"3DD.003D57F3DF","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMTRP","10/13/2021 9:15:35 AM","NA","0","LEMTRP","10/13/2021 9:15:35 AM","1"
"3DD.003D57F3DF","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","10/13/2021 4:55:49 PM","A2","110","","","1"
"3DD.003D57F3E0","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMTRP","10/13/2021 9:26:25 AM","NA","0","LEMTRP","10/13/2021 9:26:25 AM","1"
"3DD.003D57F3E0","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","EVU","10/14/2021 4:48:36 AM","02","100","","","1"
"3DD.003D57F3E0","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","10/13/2021 4:07:07 PM","A3","110","","","1"
"3DD.003D57F3E0","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LRW","10/13/2021 4:07:26 PM","A5","110","","","1"
