parent,child
TDA,BON
TDA,WRA
TDA,LWL
TDA,RCX
TDA,FID
TDA,KLR
JDA,TDA
JDA,DRM
MCN,JDA
MCN,JD1
MCN,UMW
IHR,MCN
IHR,WWB
IHR,PRO
IHR,PRA
LMA,IHR
GOA,LYFE
GOA,LTR
LTR,MTR
MTR,UTR
UTR,TFH
GOA,LMA
GRS,PENAWC
GRS,ALMOTC
GRS,GOA
LGR,GRS
LGR,DWL
LGR,NPTH
LGR,OXBO
LGR,CLWH
LGR,USE
LGR,SW1
LGR,LRL
LGR,SC1
SC1,SC2
SC2,SC3
SC3,SC4
SC4,RRT
SC4,CRA
CRA,CRT
LGR,SFG
LGR,LLR
LGR,IR1
LGR,WR1
LGR,UGR
LGR,JUL
LGR,TAY
LGR,MAR
LGR,JOC
LGR,LAP
LGR,LAW
LGR,SIX
LGR,LC1
LC1,LC2
LGR,PCA
LGR,BRC
LGR,ACM
LGR,RAPH
LGR,NFS
LGR,WEN
LGR,CLC
LGR,COC
LGR,ALPOWC
LGR,CRC
LGR,TENMC2
USE,USI
USI,STL
USI,PAHH
USI,SALEFT
USI,YFK
USI,VC2
VC2,VC1
USI,RFL
LRL,LRU
LRU,FISTRP
SFG,KRS
SFG,ZEN
SFG,ESS
SW1,SW2
EVU,KEN
EVU,LRW
EVU,HYC
EVU,AGC
EVU,WPC
EVL,BHC
IR1,IR2
IR2,IR3
IR2,BSC
IR2,LSC
LSC,LSHEEF
IR2,HORS3C
IR2,CMP
CMP,CAMP4C
WR1,WR2
WR1,BCANF
WR1,MR1
UGR,UGS
UGR,CCU
CCU,CCW
CCW,CATHEW
JUL,HLM
JUL,KHS
KHS,BBA
JUL,PCM
KRS,STR
WR2,LOSTIW
WR2,WALH
JOC,JOSEPC
IR3,IR4
IR3,GCM
IR3,CZY
IR3,MAHOGC
IR3,FREEZC
LRW,LLS
LRW,LBS
LRW,BTL
LRW,CAC
LRW,LB8
LRW,LCL
LRW,HEC
LAP,MIS
LAP,SWT
ESS,JOHNSC
ESS,YPP
ACM,ASOTIC
ACM,GEORGC
HLM,EFPW
EFPW,EPR
HLM,POTRWF
ACB,AFC
ACB,CCA
BBA,BIGBEC
BBA,LBEARC
ASOTIC,ACB
BTL,BTM
IR4,IML
IMNAHW,IR5
BTM,BTU
IR5,DRY2C
IR5,GUMBTC
SWT,WEB
LLR,EVL
EVL,EVU
LGR,LOOH
TFH,TPJ
CLC,KOOS
LGR,JA1
LGR,WB1
IML,IMNAHW
UGS,GRANDW
STR,SALSFW
STL,SAWT
