parent,child,parent_hydro,child_hydro
PRA,JDA,50002273,50001534
PRA,ICH,50002273,50001585
PRA,RSH,50002273,50002269
PRA,PRH,50002273,50002273
PRA,RIA,50002273,50002372
PRA,JD1,50002273,50004785
PRA,PRO,50002273,50005237
PRA,TMF,50002273,50010553
PRA,PRV,50002273,50012152
RIA,LWE,50002372,50009341
RIA,RRF,50002372,50105196
WEA,LMR,50002541,50006523
WEA,OKL,50002541,50009087
WEA,FST,50002541,50025284
LMR,MRC,50006523,50008954
LMR,GLC,50006523,50029905
LMR,LBC,50006523,50038594
MRC,SCP,50008954,50013224
MRC,MSH,50008954,50013342
MRC,MRW,50008954,50013573
MRC,TWR,50008954,50015037
MRC,CRW,50008954,50016268
MRC,BVC,50008954,50032551
OKL,JOH,50009087,50010187
OKL,WHS,50009087,50015006
OKL,BPC,50009087,50023029
OKL,SA1,50009087,50026366
OKL,OMK,50009087,50028245
OKL,ZSL,50009087,50038242
OKL,ANT,50009087,50039825
OKL,TNK,50009087,50041597
OKL,LLC,50009087,50045851
OKL,WAN,50009087,50059008
OKL,AEN,50009087,50106636
LWE,ICL,50009341,50012366
LWE,TUM,50009341,50013200
LWE,PES,50009341,50024786
LWE,MCL,50009341,50034392
LWE,CHM,50009341,50036832
PRV,HST,50012152,50016512
PRV,MDR,50012152,50017839
ICL,LNF,50012366,50016752
ICL,ICM,50012366,50017117
TUM,UWE,50013200,50018330
TUM,CHL,50013200,50022268
TUM,CHW,50013200,50045832
MSH,METH,50013342,50013342
MRW,WFC,50013573,50031605
ENL,EHL,50014312,50015290
ENL,ENA,50014312,50016220
ENL,MAD,50014312,50028901
ENL,RCT,50014312,50045681
TWR,TWISPW,50015037,50016793
ENA,ENF,50016220,50025245
CRW,CRU,50016268,50020420
ICM,ICU,50017117,50018558
UWE,LWN,50018330,50021266
UWE,WTL,50018330,50026363
UWE,NAL,50018330,50028949
OKC,OKV,50018648,50106638
CHL,CHU,50022268,50023868
PES,PEU,50024786,50039808
SA1,SA0,50026366,50026963
OMK,OBF,50028245,50029723
NAL,NAU,50028949,50034395
ZSL,OKC,50038242,50018648
ZSL,TON,50038242,50041592
ZSL,NMC,50038242,50070289
ZSL,OKI,50038242,50106638
RRF,EBO,50105196,50002404
RRF,WEH,50105196,50002541
RRF,WEA,50105196,50002541
RRF,ENL,50105196,50014312
