"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Mark","River","TOPPEC","11/4/2015 8:00:00 AM","NA","0","TOPPEC","12/13/2015 9:00:00 AM","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TOP","4/12/2019 2:36:42 AM","26","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TOP","4/12/2019 2:37:00 AM","23","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TOP","5/5/2019 8:16:26 PM","26","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TOP","5/5/2019 8:16:42 PM","23","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TP2","4/14/2019 8:53:46 PM","04","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TP2","4/14/2019 9:00:38 PM","02","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TP2","4/16/2019 6:41:05 PM","01","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TP2","4/16/2019 6:41:07 PM","03","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TP2","4/19/2019 12:09:39 PM","03","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TP2","4/19/2019 12:14:38 PM","01","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Instream Remote Detection System","TP2","5/4/2019 9:52:35 PM","03","100","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO2","7/7/2018 6:11:40 AM","0F","110","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO2","7/7/2018 6:12:40 AM","0D","110","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO2","7/7/2018 6:14:27 AM","0B","110","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO2","7/7/2018 6:16:19 AM","0A","110","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO2","7/7/2018 6:16:28 AM","08","110","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO2","7/7/2018 6:16:49 AM","06","110","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO2","7/7/2018 6:16:50 AM","06","110","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO2","7/7/2018 6:19:46 AM","03","110","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","7/7/2018 10:30:32 AM","04","110","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","7/7/2018 10:30:33 AM","04","110","","","1"
"384.3B23A8BBDA","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","7/7/2018 10:32:11 AM","03","110","","","1"
