"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Mark","Dam","ROZ","3/3/2010 12:00:00 PM","NA","0","ROZTAL","9/17/2010 12:00:00 AM","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Combined Dam Location","PRO","9/20/2011 8:45:33 AM","05","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Combined Dam Location","PRO","9/20/2011 8:46:04 AM","05","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Combined Dam Location","PRO","9/20/2011 8:46:05 AM","05","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Combined Dam Location","ROZ","4/9/2012 6:13:53 PM","03","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Combined Dam Location","ROZ","4/9/2012 6:26:44 PM","02","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Combined Dam Location","ROZ","4/9/2012 6:28:56 PM","01","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO1","8/10/2011 12:53:19 PM","24","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO1","8/10/2011 12:53:27 PM","22","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO1","8/10/2011 12:53:28 PM","22","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO1","8/10/2011 12:55:05 PM","20","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO1","8/10/2011 12:55:56 PM","1E","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO1","8/10/2011 12:56:02 PM","1C","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO1","8/10/2011 12:58:54 PM","1A","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO1","8/10/2011 12:59:00 PM","18","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO1","8/10/2011 12:59:07 PM","16","110","","","1"
"3D9.1BF1D4D9F4","Steelhead","Wild Fish or Natural Production","Observation","Adult Fishway","BO1","8/10/2011 1:40:32 PM","04","110","","","1"
