"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Mark","River","NASONC","11/3/2013 9:44:00 AM","NA","0","NASONC","11/4/2013 4:45:00 PM","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:14:29 AM","01","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:14:32 AM","02","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:14:35 AM","03","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:14:37 AM","04","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:15:38 AM","A1","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:15:38 AM","A2","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:15:39 AM","A3","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:15:39 AM","A4","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:15:43 AM","81","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:15:43 AM","82","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:15:43 AM","83","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/25/2014 11:15:43 AM","84","160","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAL","6/12/2015 1:36:38 AM","66","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAL","6/12/2015 1:36:50 AM","63","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","6/22/2015 12:40:37 AM","45","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","6/22/2015 12:40:55 AM","42","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/21/2015 10:17:32 PM","41","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/21/2015 10:18:13 PM","44","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/22/2015 12:51:37 AM","44","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/22/2015 12:52:00 AM","42","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/23/2015 3:30:16 AM","42","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/23/2015 3:30:18 AM","43","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/23/2015 3:33:34 AM","46","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/23/2015 8:41:32 PM","41","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/23/2015 8:41:50 PM","44","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/23/2015 8:59:48 PM","41","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/27/2015 8:12:36 PM","42","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/27/2015 8:12:49 PM","46","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/27/2015 11:59:12 PM","45","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/27/2015 11:59:14 PM","44","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/27/2015 11:59:27 PM","42","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/27/2015 11:59:29 PM","43","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/28/2015 8:23:51 PM","41","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/28/2015 8:24:00 PM","44","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/28/2015 9:04:38 PM","46","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/28/2015 9:04:52 PM","43","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/29/2015 2:30:28 PM","41","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/29/2015 2:30:39 PM","44","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/30/2015 1:48:52 AM","46","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/30/2015 1:49:05 AM","43","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/31/2015 12:13:33 PM","41","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/31/2015 12:13:33 PM","42","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","8/31/2015 12:13:38 PM","44","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","9/4/2015 4:05:05 AM","46","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","NAU","9/4/2015 4:05:27 AM","42","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:41:24 PM","04","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:41:25 PM","04","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:42:18 PM","03","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:42:19 PM","03","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:44:08 PM","02","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:44:09 PM","02","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:44:10 PM","02","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:44:17 PM","02","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:44:18 PM","02","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:45:13 PM","01","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","BO4","5/14/2015 4:45:14 PM","01","100","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:01:15 PM","13","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:01:47 PM","10","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:01:48 PM","10","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:01:49 PM","10","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:05:00 PM","0F","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:05:01 PM","0F","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:06:41 PM","0C","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:06:42 PM","0C","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:08:55 PM","0A","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:08:56 PM","0A","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:15:13 PM","06","120","","","1"
"384.3B239AD241","Chinook","Wild Fish or Natural Production","Observation","Adult Fishway","MC2","5/19/2015 5:15:14 PM","06","120","","","1"
