site_code,config_id,antenna_id,node,antenna_group,latitude,longitude
CHL,100,81,CHLA0,UPPER IN-STREAM ARRAY,47.787548,-120.653864
CHL,100,82,CHLA0,UPPER IN-STREAM ARRAY,47.787548,-120.653864
CHL,100,83,CHLA0,UPPER IN-STREAM ARRAY,47.787548,-120.653864
CHL,100,84,CHLB0,LOWER IN-STREAM ARRAY,47.787548,-120.653864
CHL,100,85,CHLB0,LOWER IN-STREAM ARRAY,47.787548,-120.653864
CHL,100,86,CHLB0,LOWER IN-STREAM ARRAY,47.787548,-120.653864
CHU,100,91,CHUA0,UPPER IN-STREAM ARRAY,47.843795,-120.665435
CHU,100,92,CHUA0,UPPER IN-STREAM ARRAY,47.843795,-120.665435
CHU,100,93,CHUA0,UPPER IN-STREAM ARRAY,47.843795,-120.665435
CHU,100,94,CHUB0,LOWER IN-STREAM ARRAY,47.843795,-120.665435
CHU,100,95,CHUB0,LOWER IN-STREAM ARRAY,47.843795,-120.665435
CHU,100,96,CHUB0,LOWER IN-STREAM ARRAY,47.843795,-120.665435
CHW,100,01,CHWA0,UPSTREAM ARRAY,47.681436,-120.731185
CHW,100,02,CHWA0,UPSTREAM ARRAY,47.681436,-120.731185
CHW,100,03,CHWA0,UPSTREAM ARRAY,47.681436,-120.731185
CHW,100,04,CHWB0,DOWNSTREAM ARRAY,47.681436,-120.731185
CHW,100,05,CHWB0,DOWNSTREAM ARRAY,47.681436,-120.731185
CHW,100,06,CHWB0,DOWNSTREAM ARRAY,47.681436,-120.731185
CHW,110,B1,CHWA0,UPSTREAM ARRAY,47.681436,-120.731185
CHW,110,B2,CHWA0,UPSTREAM ARRAY,47.681436,-120.731185
CHW,110,B3,CHWA0,UPSTREAM ARRAY,47.681436,-120.731185
CHW,110,B4,CHWB0,DOWNSTREAM ARRAY,47.681436,-120.731185
CHW,110,B5,CHWB0,DOWNSTREAM ARRAY,47.681436,-120.731185
CHW,110,B6,CHWB0,DOWNSTREAM ARRAY,47.681436,-120.731185
ICL,100,B1,ICLB0,INSTREAM ARRAY,47.578648,-120.662589
ICL,100,B2,ICLB0,INSTREAM ARRAY,47.578648,-120.662589
ICL,100,B3,ICLB0,INSTREAM ARRAY,47.578648,-120.662589
ICL,100,B4,ICLB0,INSTREAM ARRAY,47.578648,-120.662589
ICL,100,B5,ICLB0,INSTREAM ARRAY,47.578648,-120.662589
ICL,100,B6,ICLB0,INSTREAM ARRAY,47.578648,-120.662589
ICL,110,01,ICLA0,Upstream Array,47.578648,-120.662589
ICL,110,02,ICLA0,Upstream Array,47.578648,-120.662589
ICL,110,03,ICLA0,Upstream Array,47.578648,-120.662589
ICL,110,04,ICLA0,Upstream Array,47.578648,-120.662589
ICL,110,05,ICLA0,Upstream Array,47.578648,-120.662589
ICL,110,06,ICLA0,Upstream Array,47.578648,-120.662589
ICL,110,07,ICLB0,Downstream Array,47.578648,-120.662589
ICL,110,08,ICLB0,Downstream Array,47.578648,-120.662589
ICL,110,09,ICLB0,Downstream Array,47.578648,-120.662589
ICL,110,0A,ICLB0,Downstream Array,47.578648,-120.662589
ICL,110,0B,ICLB0,Downstream Array,47.578648,-120.662589
ICL,110,0C,ICLB0,Downstream Array,47.578648,-120.662589
ICM,100,01,ICMA0,Upstream Array,47.549657,-120.67971
ICM,100,02,ICMA0,Upstream Array,47.549657,-120.67971
ICM,100,03,ICMA0,Upstream Array,47.549657,-120.67971
ICM,100,04,ICMA0,Upstream Array,47.549657,-120.67971
ICM,100,05,ICMB0,Downstream Array,47.549657,-120.67971
ICM,100,06,ICMB0,Downstream Array,47.549657,-120.67971
ICM,100,07,ICMB0,Downstream Array,47.549657,-120.67971
ICM,100,08,ICMB0,Downstream Array,47.549657,-120.67971
LNF,100,01,LNF,Adult Pond,47.558465,-120.672248
LNF,100,02,LNF,UPPER FISH LADDER,47.558465,-120.672248
LNF,100,03,LNF,MIDDLE FISH LADDER,47.558465,-120.672248
LNF,100,04,LNF,LOWER FISH LADDER,47.558465,-120.672248
LWN,100,B1,LWNA0,UPPER IN-STREAM ARRAY,47.834251,-120.838918
LWN,100,B2,LWNA0,UPPER IN-STREAM ARRAY,47.834251,-120.838918
LWN,100,B3,LWNA0,UPPER IN-STREAM ARRAY,47.834251,-120.838918
LWN,100,B4,LWNB0,LOWER IN-STREAM ARRAY,47.834251,-120.838918
LWN,100,B5,LWNB0,LOWER IN-STREAM ARRAY,47.834251,-120.838918
