site_code,config_id,antenna_id,node,start_date,end_date,site_type,site_name,antenna_group,site_description,site_type_name,rkm,rkm_total,latitude,longitude
158,100,D1,158A0,2011-11-29T00:00:00Z,NA,INT,Fifteenmile Ck at Eightmile Ck,Upstream Eightmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.",Instream Remote Detection System,309.004,313,45.606425,-121.08628
158,100,D2,158A0,2011-11-29T00:00:00Z,NA,INT,Fifteenmile Ck at Eightmile Ck,Middle Eightmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.",Instream Remote Detection System,309.004,313,45.606425,-121.08628
158,100,D3,158B0,2011-11-29T00:00:00Z,NA,INT,Fifteenmile Ck at Eightmile Ck,Downstream Eightmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.",Instream Remote Detection System,309.004,313,45.606425,-121.08628
158,100,D4,158A0,2011-11-29T00:00:00Z,NA,INT,Fifteenmile Ck at Eightmile Ck,Upstream Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.",Instream Remote Detection System,309.004,313,45.606425,-121.08628
158,100,D5,158A0,2011-11-29T00:00:00Z,NA,INT,Fifteenmile Ck at Eightmile Ck,Middle Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.",Instream Remote Detection System,309.004,313,45.606425,-121.08628
158,100,D6,158B0,2011-11-29T00:00:00Z,NA,INT,Fifteenmile Ck at Eightmile Ck,Downstream Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF EIGHTMILE CREEK AND FIFTEENMILE CREEKS, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND THREE ANTENNAS IN EACH CREEK. ANTENNA ARRAYS FOR EACH CREEK CONSIST OF ONE ANTENNA EACH THAT SPANS THE NORMAL HIGH WATER MARK AND IS SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND.",Instream Remote Detection System,309.004,313,45.606425,-121.08628
15D,100,C1,15DA0,2012-03-15T00:00:00Z,2019-06-30T12:00:00Z,INT,Fifteenmile Ck at Dry Ck,Upstream Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND. Site was removed June 2019.",Instream Remote Detection System,309.038,347,45.506158,-121.046218
15D,100,C2,15DA0,2012-03-15T00:00:00Z,2019-06-30T12:00:00Z,INT,Fifteenmile Ck at Dry Ck,Upstream Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND. Site was removed June 2019.",Instream Remote Detection System,309.038,347,45.506158,-121.046218
15D,100,C3,15DB0,2012-03-15T00:00:00Z,2019-06-30T12:00:00Z,INT,Fifteenmile Ck at Dry Ck,Downstream Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND. Site was removed June 2019.",Instream Remote Detection System,309.038,347,45.506158,-121.046218
15D,100,C4,15DB0,2012-03-15T00:00:00Z,2019-06-30T12:00:00Z,INT,Fifteenmile Ck at Dry Ck,Downstream Fifteenmile Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND. Site was removed June 2019.",Instream Remote Detection System,309.038,347,45.506158,-121.046218
15D,100,C5,15DA0,2012-03-15T00:00:00Z,2019-06-30T12:00:00Z,INT,Fifteenmile Ck at Dry Ck,Upstream Dry Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND. Site was removed June 2019.",Instream Remote Detection System,309.038,347,45.506158,-121.046218
15D,100,C6,15DB0,2012-03-15T00:00:00Z,2019-06-30T12:00:00Z,INT,Fifteenmile Ck at Dry Ck,Downstream Dry Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND DRY CREEK. THE SITE CONSISTS OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION CONSISTS OF TWO ARRAYS EACH ON DRY AND FIFTEEN MILE CREEKS, SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ANTENNA ARRAYS ON DRY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS GRID-POWERED AND OPERATES YEAR-ROUND. SITE IS ON PRIVATE LAND. Site was removed June 2019.",Instream Remote Detection System,309.038,347,45.506158,-121.046218
15R,100,E1,15RA0,2011-05-10T00:00:00Z,2018-04-04T18:00:00Z,INT,Fifteenmile Ck at Ramsey Ck,Upstream Ramsey Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND RAMSEY CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION FOR THIS SITE CONSISTS OF TWO ARRAYS EACH ON RAMSEY AND FIFTEENMILE CREEKS SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ARRAYS ON RAMSEY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. LOCATED ON PRIVATE LAND. Site was removed in April 2018",Instream Remote Detection System,309.056,365,45.433719,-121.217211
15R,100,E2,15RB0,2011-05-10T00:00:00Z,2018-04-04T18:00:00Z,INT,Fifteenmile Ck at Ramsey Ck,Downstream Ramsey Ck,"INSTREAM DETECTION ARRAY AT THE CONFLUENCE OF FIFTEENMILE CREEK AND RAMSEY CREEK, CONSISTING OF A FS1001M MULTIPLEXING TRANCEIVER, CELL MODEM, AND SIX ANTENNAS. THE ANTENNA CONFIGURATION FOR THIS SITE CONSISTS OF TWO ARRAYS EACH ON RAMSEY AND FIFTEENMILE CREEKS SPANNING THE WIDTH OF THE CREEKS WITHIN THE NORMAL HIGH WATER MARKS. THE ARRAYS ON RAMSEY CREEK CONSIST OF ONE ANTENNA EACH. THE ARRAYS ON FIFTEENMILE CREEK CONSIST OF TWO ANTENNAS EACH. ANTENNAS ARE SECURED TO THE SUBSTRATE FOR PASS-OVER DETECTION. SITE IS SOLAR-POWERED AND OPERATES YEAR-ROUND. LOCATED ON PRIVATE LAND. Site was removed in April 2018",Instream Remote Detection System,309.056,365,45.433719,-121.217211
