parent,child,parent_hydro,child_hydro,parent_rkm,child_rkm
GRA,USE,50001672,50005338,522.173,522.303.437
GRA,SW1,50001672,50006318,522.173,522.224.120.037.005
GRA,LRL,50001672,50008638,522.173,522.224.120.037.001
GRA,SC1,50001672,50009165,522.173,522.224.120.001
GRA,SFG,50001672,50011979,522.173,522.303.215.030
GRA,LTR,50001672,50013060,522.173,522.100.003
GRA,LLR,50001672,50013171,522.173,522.303.416.001
GRA,IR1,50001672,50013475,522.173,522.308.007
GRA,WR1,50001672,50014835,522.173,522.271.131.014
GRA,UGR,50001672,50014977,522.173,522.271.155
GRA,JUL,50001672,50015563,522.173,522.224.024.014
GRA,TAY,50001672,50017066,522.173,522.303.319.029.011
GRA,JOC,50001672,50017463,522.173,522.271.007.003
GRA,LAP,50001672,50019457,522.173,522.224.019.001
GRA,LC1,50001672,50019995,522.173,522.224.087.021
GRA,PCA,50001672,50020291,522.173,522.303.338.005
GRA,BRC,50001672,50021186,522.173,522.303.319.170.006
GRA,ALMOTC,50001672,50022550,522.173,522.164
GRA,ACM,50001672,50024008,522.173,522.234.001
GRA,RAPH,50001672,50025144,522.173,522.303.140.007.006
GRA,NFS,50001672,50025673,522.173,522.303.381.001
GRA,WEN,50001672,50026244,522.173,522.271.073.001
GRA,CLC,50001672,50031133,522.173,522.224.120.004.001
GRA,COC,50001672,50038755,522.173,522.308.006.001
GRA,ALPOWC,50001672,50045333,522.173,522.205
GRA,PENAWC,50001672,50047846,522.173,522.145
GRA,CRC,50001672,50053967,522.173,522.303.408.001
GRA,TENMC2,50001672,50056198,522.173,522.237
GRA,LOOKGC,50001672,50103060,522.173,522.271.137
USE,USI,50005338,50005589,522.303.437,522.303.460
USI,STL,50005589,50015724,522.303.460,522.303.617.000
USI,PAHH,50005589,50018739,522.303.460,522.303.489.011
USI,SALEFT,50005589,50020877,522.303.460,522.303.552.029
USI,YFK,50005589,50022543,522.303.460,522.303.591.003
USI,VC1,50005589,50026812,522.303.460,522.303.609.002
USI,RFL,50005589,50039441,522.303.460,522.303.615.001
LRL,FISTRP,50008638,50026776,522.224.120.037.001,522.224.120.037.039.002
SFG,KRS,50011979,50015719,522.303.215.030,522.303.215.065
SFG,ZEN,50011979,50019729,522.303.215.030,522.303.215.059.003
SFG,ESS,50011979,50020005,522.303.215.030,522.303.215.060.021
LTR,MTR,50013060,50014296,522.100.003,522.100.019
LLR,KEN,50013171,50015572,522.303.416.001,522.303.416.029.000
LLR,LRW,50013171,50018738,522.303.416.001,522.303.416.050
LLR,HYC,50013171,50033070,522.303.416.001,522.303.416.049.001
LLR,AGC,50013171,50045245,522.303.416.001,522.303.416.039.001
LLR,WPC,50013171,50059548,522.303.416.001,522.303.416.020.001
LLR,BHC,50013171,50102124,522.303.416.001,522.303.416.017.001
IR1,IR3,50013475,50018401,522.308.007,522.308.041
IR1,BSC,50013475,50019352,522.308.007,522.308.032.006
IR1,LSHEEF,50013475,50029197,522.308.007,522.308.032.005.008
IR1,HORS3C,50013475,50049394,522.308.007,522.308.018
IR1,CMP,50013475,50060614,522.308.007,522.308.032.002.002
MTR,UTR,50014296,50016892,522.100.019,522.100.053
WR1,WR2,50014835,50016894,522.271.131.014,522.271.131.032
WR1,BCANF,50014835,50047876,522.271.131.014,522.271.131.018.001
UGR,UGS,50014977,50024695,522.271.155,522.271.291
