parent,child,parent_hydro,child_hydro,parent_rkm,child_rkm
PRA,JDA,50002273,50001534,639,347
PRA,ICH,50002273,50001585,639,522.016
PRA,RSH,50002273,50002269,639,567
PRA,PRH,50002273,50002273,639,635
PRA,RIA,50002273,50002372,639,730
PRA,JD1,50002273,50004785,639,351.032
PRA,PRO,50002273,50005237,639,539.076
PRA,TMF,50002273,50010553,639,465.005
PRA,PRV,50002273,50012152,639,509.009
RIA,LWE,50002372,50009341,730,754.003
RIA,CLK,50002372,50058664,730,740.001
RIA,RRF,50002372,50105196,730,763
WEA,LMR,50002541,50006523,830,843.008
WEA,OKL,50002541,50009087,830,858.025
WEA,FST,50002541,50024792,830,868.001
LMR,MRC,50006523,50008954,843.008,843.045
LMR,GLC,50006523,50029905,843.008,843.035.001
LMR,LBC,50006523,50038594,843.008,843.042.001
MRC,SCP,50008954,50013224,843.045,843.081
MRC,MSH,50008954,50013342,843.045,843.085
MRC,MRW,50008954,50013573,843.045,843.085
MRC,TWR,50008954,50015037,843.045,843.066.002
MRC,CRW,50008954,50016268,843.045,843.080.001
MRC,BVC,50008954,50032551,843.045,843.057.001
OKL,JOH,50009087,50010187,858.025,858.066.001
OKL,WHS,50009087,50015006,858.025,858.114.001
OKL,BPC,50009087,50023029,858.025,858.092.001
OKL,SA1,50009087,50026366,858.025,858.041.003
OKL,OMK,50009087,50028245,858.025,858.052.000
OKL,ZSL,50009087,50038242,858.025,858.132
OKL,ANT,50009087,50039825,858.025,858.099.000
OKL,TNK,50009087,50041597,858.025,858.073.001
OKL,LLC,50009087,50045851,858.025,858.028.001
OKL,WAN,50009087,50059008,858.025,858.057.001
OKL,AEN,50009087,50106636,858.025,858.086.001
LWE,ICL,50009341,50012366,754.003,754.041.000
LWE,TUM,50009341,50013200,754.003,754.044
LWE,PES,50009341,50024786,754.003,754.029.003
LWE,MCL,50009341,50034392,754.003,754.017.001
LWE,CHM,50009341,50036832,754.003,754.037.000
PRV,HST,50012152,50016512,509.009,509.035.050
PRV,MDR,50012152,50017839,509.009,509.041
ICL,LNF,50012366,50016751,754.041.000,754.041.005
ICL,ICM,50012366,50017117,754.041.000,754.041.007
TUM,UWE,50013200,50018330,754.044,754.081
TUM,CHL,50013200,50022268,754.044,754.077.001
TUM,CHW,50013200,50045832,754.044,754.057.000
MSH,METH,50013342,50013342,843.085,843.085
MRW,WFC,50013573,50031605,843.085,843.085.001
ENL,EHL,50014312,50015290,778.002,778.011
ENL,ENA,50014312,50016220,778.002,778.017
ENL,MAD,50014312,50028901,778.002,778.017.001
ENL,RCT,50014312,50045681,778.002,778.010.001
TWR,TWISPW,50015037,50016793,843.066.002,843.066.013
ENA,ENF,50016220,50025245,778.017,778.041
CRW,CRU,50016268,50020420,843.080.001,843.080.028
ICM,ICU,50017117,50018558,754.041.007,754.041.010
UWE,LWN,50018330,50021585,754.081,754.090.008.004
UWE,WTL,50018330,50026363,754.081,754.090.003
UWE,NAL,50018330,50028949,754.081,754.089.001
OKC,OKV,50018648,50106638,858.149,858.163.001
CHL,CHU,50022268,50023868,754.077.001,754.077.012
PES,PEU,50024786,50039808,754.029.003,754.029.017
SA1,SA0,50026366,50026963,858.041.003,858.041.006
OMK,OBF,50028245,50029723,858.052.000,858.052.010
NAL,NAU,50028949,50034395,754.089.001,754.089.019
ZSL,OKC,50038242,50018648,858.132,858.149
ZSL,TON,50038242,50041592,858.132,858.133.001
ZSL,NMC,50038242,50070289,858.132,858.134.001
ZSL,OKI,50038242,50106638,858.132,858.139.001
RRF,WEA,50105196,50002541,763,830
RRF,WEH,50105196,50002541,763,830
RRF,ENL,50105196,50014312,763,778.002
