parent,child,parent_hydro,child_hydro,parent_rkm,child_rkm
PRO,JDA,50005237,50001534,539.076,347
PRO,MCN,50005237,50001566,539.076,470
PRO,ICH,50005237,50001585,539.076,522.016
PRO,PRA,50005237,50002273,539.076,639
PRO,JD1,50005237,50004785,539.076,351.032
PRO,SUN,50005237,50006812,539.076,539.166
PRO,TOP,50005237,50015300,539.076,539.130.002
PRO,SAT,50005237,50021261,539.076,539.112.005
SUN,ROZ,50006812,50007902,539.166,539.206
SUN,LNR,50006812,50008460,539.166,539.187.005
SUN,LWC,50006812,50019118,539.166,539.197.002
SUN,AH1,50006812,50022632,539.166,539.172.004
ROZ,LMT,50007902,50017934,539.206,539.284.000
ROZ,LMC,50007902,50023170,539.206,539.253.002
ROZ,TAN,50007902,50028498,539.206,539.271.003
ROZ,SWK,50007902,50037373,539.206,539.274.001
TOP,TP2,50015300,50022631,539.130.002,539.130.054
TOP,SM1,50015300,50024782,539.130.002,539.130.053.009
LMC,UMC,50023170,50026578,539.253.002,539.253.010
