parent,child,parent_hydro,child_hydro,parent_rkm,child_rkm
ICL,LNF,50012366,50016751,754.041.000,754.041.005
ICL,ICM,50012366,50017117,754.041.000,754.041.007
TUM,ICL,50013200,50012366,754.044,754.041.000
TUM,LWN,50013200,50021585,754.044,754.090.008.004
TUM,CHL,50013200,50022268,754.044,754.077.001
TUM,PES,50013200,50024786,754.044,754.029.003
TUM,WTL,50013200,50026363,754.044,754.090.003
TUM,NAL,50013200,50028949,754.044,754.089.001
TUM,CHW,50013200,50045832,754.044,754.057.000
ICM,ICU,50017117,50018558,754.041.007,754.041.010
CHL,CHU,50022268,50023868,754.077.001,754.077.012
PES,PEU,50024786,50039808,754.029.003,754.029.017
NAL,NAU,50028949,50034395,754.089.001,754.089.019
